year,section,org,kind,ref,norma,title,summary
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6475,Ley N? 6475,Se sustituyen del Anexo II Áreas especiales individualizadas del Código Urbanístico el artículo 5.7.14. U14 Distrito Joven- Costanera Norte y el Plano N° 5.7.14. U14 Distrito Joven- Costanera Norte del Anexo III Atlas del Código Urbanístico,
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6476,Ley N? 6476,Se aprueba el convenio urbanístico y sus adendas suscriptos con la firma IRSA Inversiones y Representaciones SA,
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6477,Ley N? 6477,Se aprueban Convenios Urbanísticos,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Ley,6390,Ley N? 6390,Promoción del desarrollo económico de la actividad audiovisual y artística y se crea el Distrito Audiovisual y de las Artes de la Ciudad Autónoma de Buenos Aires,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Ley,6391,Ley N? 6391,Promoción del desarrollo económico de la actividad de diseño en la Ciudad de Buenos Aires,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Ley,6412,Ley N? 6412,Se corrigen erratas en la Ley N° 6390,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Ley,6447,Ley N? 6447,Se crea el Distrito del Vino de la Ciudad Autónoma de Buenos Aires,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Decreto,105,Decreto N? 105,Se aprueba la reglamentación de la Ley N° 6390 y se designa como Autoridad de Aplicación al Ministerio de Desarrollo Económico y Producción,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Decreto,106,Decreto N? 106,Se aprueba la reglamentación de la Ley N° 6391 y se designa como Autoridad de Aplicación al Ministerio de Desarrollo Económico y Producción,
2021,Espacio Público,Dirección General De Fiscalización Y Control De Obras,Ley,6467,Ley N? 6467,"Se dispone la refuncionalización temporal y voluntaria de terrenos baldíos de propiedad privada en espacios recreativos, de libre acceso y uso público para el disfrute general de toda la ciudadanía",
2021,Hoteles Y Residencias,Secretaría De Transporte Y Obras Públicas,Decreto,145,Decreto N? 145,Se aprueba la reglamentación de la Ley N° 6340,
